id,area,available_icu_beds_with_ventilator,pincode,district,last_updated_date,total_beds_without_oxygen,available_beds_without_oxygen,total_icu_beds_without_ventilator,total_beds_with_oxygen,hospital_phone,last_updated_time,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,available_beds_with_oxygen,hospital_address,last_updated_on
274,Jangaon,2,506167,Jangaon,19/04/2021,4,4,-1,10,9440170178,10:22:37 AM,KOTI RATNA HOSPITAL,-1,2,10,"Suryapet Rd, Balaji Nagar, Jangaon, Telangana 506167, India",1618807957000
275,Jangaon,0,506167,Jangaon,19/04/2021,8,8,-1,2,9866340952,10:20:48 AM,RAVALI NURSING HOME,-1,0,2,"#6-2-8, Nh163 ,Hyderabad Road, Jangaon, Kurumawada, Balaji Nagar, Hyderabad, Telangana 506167, India",1618807848000
276,Jangaon,4,506167,Jangaon,29/04/2021,35,35,-1,10,9848743585,06:25:35 PM,SRI SAI KRISHNA NURSING HOME ,-1,5,9,"2-10-73 (Dr. Naik Hospital), Ganesh St, Ganesh Street, Jangaon, Telangana 506167, India",1619700935000
277,Jangaon,0,506167,Jangaon,19/04/2021,9,9,-1,3,9989911201,10:21:40 AM,SRI SRINIVASA HOSPITAL,-1,0,3,"4-5-62/4, Sri Srinivasa Hospital, HNK road, behind Bus Depot, Bhavani Nagar, Jangaon, Telangana 506167, India",1618807900000
278,Jangaon,2,506167,Jangaon,02/05/2021,5,1,-1,9,9912750422,11:44:30 AM,SSK- JANGOAN,-1,6,0,"Hyderabad - Warangal Hwy, Jangaon, Telangana 506167, India",1619936070000
279,Jangaon,0,506167,Jangaon,19/04/2021,7,7,-1,3,9010968666,10:20:21 AM,SWAPNA HOSPITAL ,-1,0,3,"Sainagar, Balaji Nagar, Jangaon, Telangana 506167, India",1618807821000
280,Komaram Bheem,0,505172,Komaram Bheem,19/04/2021,6,6,-1,4,9866634050,10:22:10 AM,VIJAYA HOSPITAL ,-1,0,4,"H.No.2-1-120, Near New, Bus Stand, Peddapalli, Telangana 505172, India",1618807930000
281,Jayashankar,12,506169,Jayashankar,02/05/2021,10,10,-1,6,--,09:17:08 AM,GLOBAL CARE HOSPITAL,-1,17,6,"Bhupalpally Main Rd, Jawahar Nagar, Bhupalpally, Telangana 506169, India",1619927228000
282,Jayashankar,14,,Jayashankar,02/05/2021,10,7,-1,10,--,02:28:22 PM,KIRAN HOSPITAL,-1,14,8,,1619945902000
283,Jayashankar,2,506169,Jayashankar,02/05/2021,10,10,-1,10,9951617196,02:17:18 PM,PRADHAN  HOSPITAL,-1,5,10,"MAIN ROAD, BUPALPALLY, JAYASHANKERBHUPALPALLY, Telangana 506169, India",1619945238000
284,Jayashankar,10,,Jayashankar,02/05/2021,10,10,-1,10,--,09:23:10 AM,SAI BALAJI MULTI SPECIALTY HOSPITAL,-1,10,10,,1619927590000
285,Jayashankar,1,506169,Jayashankar,02/05/2021,9,6,-1,3,7907385064,09:15:41 AM,SMART CARE MULTISPECIALITY HOSPITAL,-1,7,2,"SSR Complex Dno 21-5, 47/11, Bhupalpally Main Rd, Manjoor Nagar, Bhupalpally, Telangana 506169, India",1619927141000
286,Jogulamba,0,,Jogulamba,30/04/2021,0,0,-1,0,--,11:03:49 AM,"AMRITHA HOSPITAL, ",-1,0,0,,1619760829000
287,Jogulamba,0,,Jogulamba,30/04/2021,2,2,-1,0,--,10:50:51 AM,BHUVANESHWARI NURSING HOME,-1,0,0,,1619760051000
288,Jogulamba,0,,Jogulamba,01/05/2021,3,3,-1,0,--,10:46:34 AM,JANANI NURSING HOME,-1,0,0,,1619846194000
289,Jogulamba,0,,Jogulamba,01/05/2021,3,3,-1,2,--,10:49:27 AM,JAYAPRAJA HOSPITAL,-1,0,2,,1619846367000
290,Jogulamba,0,,Jogulamba,01/05/2021,2,2,-1,0,--,11:06:45 AM,LAXMI VENKATESWRA CHILDREN HOSPITAL ,-1,0,0,,1619847405000
291,Jogulamba,0,,Jogulamba,01/05/2021,3,3,-1,0,--,11:10:15 AM,MEDICARE SPECIALITY HOSPITAL,-1,0,0,,1619847615000
292,Jogulamba,0,,Jogulamba,01/05/2021,2,2,-1,0,--,11:05:26 AM,"MONICA PRAJA VAIDHYASHALA, ",-1,0,0,,1619847326000
293,Jogulamba,0,,Jogulamba,01/05/2021,2,2,-1,0,--,10:48:11 AM,NIRMALA NURSING HOME MATERNITY SURGICAL AND CHILDREN NURSING HOME,-1,0,0,,1619846291000
294,Jogulamba,0,,Jogulamba,01/05/2021,2,2,-1,0,--,10:50:25 AM,RAOS PRAJAVAIDYASHALA,-1,0,0,,1619846425000
295,Jogulamba,0,,Jogulamba,02/05/2021,4,4,-1,0,--,12:35:40 PM,SAI KRUPA HOSPITAL,-1,0,0,,1619939140000
296,Jogulamba,0,,Jogulamba,01/05/2021,5,5,-1,0,--,11:04:59 AM,SAI SHIVA HOSPITAL,-1,0,0,,1619847299000
297,Jogulamba,0,,Jogulamba,01/05/2021,2,2,-1,0,--,11:09:47 AM,SATYA NARAYANA CHILDREN HOSPITAL,-1,0,0,,1619847587000
298,Jogulamba,0,,Jogulamba,01/05/2021,2,2,-1,0,--,10:47:42 AM,SHIVA SAI NURSING  HOME,-1,0,0,,1619846262000
299,Jogulamba,0,,Jogulamba,30/04/2021,2,2,-1,0,--,10:36:24 AM,"SRAVANTHI MULTISPECIALITY HOPSITAL, ",-1,0,0,,1619759184000
300,Jogulamba,0,,Jogulamba,02/05/2021,2,0,-1,0,--,11:55:28 AM,SRAVANTHI MULTISPECIALITY HOSPITA,-1,0,0,,1619936728000
301,Jogulamba,0,,Jogulamba,01/05/2021,5,5,-1,0,--,11:06:00 AM,"SRI BALAJI HOSPITAL, ",-1,0,0,,1619847360000
302,Jogulamba,0,,Jogulamba,01/05/2021,2,2,-1,1,--,11:04:12 AM,SRI RAGHAVENDRA MOTHER AND CHILD HOSPITAL,-1,0,1,,1619847252000
303,Jogulamba,0,,Jogulamba,01/05/2021,1,1,-1,0,--,11:09:02 AM,"SRI. SRINIVARSNURSING HOME, ",-1,0,0,,1619847542000
304,Jogulamba,0,,Jogulamba,30/04/2021,2,2,-1,1,--,11:14:10 AM,"SRI VIJAYA RAYA MULTI SPECIALITY HOSPITAL, ",-1,0,1,,1619761450000
305,Jogulamba,0,,Jogulamba,01/05/2021,3,3,-1,2,--,11:07:38 AM,SUBHAKARA HOSPITALS ,-1,0,2,,1619847458000
306,Jogulamba,0,,Jogulamba,01/05/2021,3,3,-1,0,--,10:49:57 AM,SUNITHA METERNITY NURSING HOME,-1,0,0,,1619846397000
307,Jogulamba,0,,Jogulamba,01/05/2021,2,2,-1,0,--,11:10:41 AM,SUN RISE HOSPITAL,-1,0,0,,1619847641000
308,Kamareddy,0,503111,Kamareddy,01/05/2021,5,1,-1,5,9885707042,10:52:12 PM,"ADITHYA HOSPITAL H,NO-1-7-57/12.SIRICILLA ROAD ",-1,0,3,"1, 7, Kamareddy - Sircilla Rd, Rameswarpalle, Telangana 503111, India",1619889732000
309,Kamareddy,0,,Kamareddy,02/05/2021,5,5,-1,2,9502128696,11:17:04 AM,Ajay Hospital,-1,0,2,,1619934424000
310,Kamareddy,5,503111,Kamareddy,02/05/2021,10,10,-1,5,--,10:56:07 AM,AKHILA HOSPITAL KAMAREDDY,-1,5,5,"Vikas Nagar Colony, Kamareddy, Telangana 503111, India",1619933167000
311,Kamareddy,0,503111,Kamareddy,02/05/2021,3,3,-1,3,9885063559,01:20:21 PM,"AMRUTHA  CHILDRENS HPL,KAMAREDDY.",-1,0,3,"Nizamabad, SH-11, Kamareddy Sircilla Road, Kamareddy, Ashok Nagar, Kamareddy, Telangana 503111, India",1619941821000
312,Kamareddy,0,503111,Kamareddy,02/05/2021,8,8,-1,0,9949497703,01:55:17 PM,"AMRUTHA HOSPTAL BESIDE, SARASWATHI TEMPLE, ",-1,0,0,"Subhash Rd, Padmajiwadi X Road, Kamareddy, Telangana 503111, India",1619943917000
313,Kamareddy,0,,Kamareddy,02/05/2021,3,3,-1,0,--,09:16:01 AM,"ANVITHA HOSPITAL, NEAR BUSTAND BANSWADA",-1,0,0,,1619927161000
314,Kamareddy,0,503111,Kamareddy,01/05/2021,5,5,-1,0,9299991881,01:06:49 PM,"BALAJI HOSPITAL,HNO-1-5-64,GODOWN ROAD KAMAREDDY",-1,0,0,"Kamareddy Station Rd, Kamareddy, Telangana 503111, India",1619854609000
315,Kamareddy,3,,Kamareddy,28/04/2021,0,0,-1,6,--,04:26:51 PM,DEVI HOSPITAL NGOS COLONY,-1,9,6,,1619607411000
316,Kamareddy,0,503111,Kamareddy,01/05/2021,2,1,-1,0,9000995775,10:38:38 AM,"DR. ANJAL REDDY MEMORIAL HOSPITAL NETAJI ROAD, KAMAREDDY,",-1,0,0,"Unnamed Road, Kamareddy, Telangana 503111, India",1619845718000
317,Kamareddy,0,503111,Kamareddy,01/05/2021,2,2,-1,2,9989054815,11:32:34 AM,"DR. B. ESHWAR DAS.HOSPITAL, NEAR RAILWAY BRIDGE, ",-1,0,2,"kamareddy, Station Road, near Police station, Kamareddy, Telangana 503111, India",1619848954000
318,Kamareddy,0,503111,Kamareddy,02/05/2021,4,4,-1,3,9299995454,08:44:37 AM,"DR. RADHA VIJAYA LAXMI, RR HPL KAMAREDDY",-1,0,3,"Kasturi Nagar, Kamareddy, Telangana 503111, India",1619925277000
319,Kamareddy,5,503111,Kamareddy,01/05/2021,0,0,-1,5,9985239983,11:32:42 AM,"DWARAKA MULTI SPECILAITY HOSPITAL, ",-1,5,0,"Beside Dr.Dattaiah clinic,pedda Bazar, near Railway bridge, Lachapet, Kamareddy, Telangana 503111, India",1619848962000
320,Kamareddy,2,503111,Kamareddy,01/05/2021,2,2,-1,1,9985365679,03:30:56 PM,"GEEREDDY RAVINDEREDDY NEURO SPECIALITY HOOPITAL,KAMAREDDY",-1,2,1,"Tilak Rd, opposite Jagruthi Hospital, Kamareddy, Telangana 503111, India",1619863256000
321,Kamareddy,0,503111,Kamareddy,02/05/2021,5,4,-1,10,9885817458,06:58:40 AM,"JAGRUTHI  HOSPITAL  HN-1-5-98, GODWN ROAD KAMAREDDY  ",-1,0,3,"1-5-98, Tilak Rd, Kamareddy, Telangana 503111, India",1619918920000
322,Kamareddy,0,503111,Kamareddy,01/05/2021,0,0,-1,8,8099220068,07:15:15 PM,JAYAMULTY SPECIALITY HOSPITAL ,-1,0,3,"Tilak Rd, opposite Jagruthi Hospital, Kamareddy, Telangana 503111, India",1619876715000
323,Kamareddy,3,503111,Kamareddy,02/05/2021,13,13,-1,0,9908222204,02:23:16 PM,"JEEVENDAN HOSPITAL, ",-1,12,0,"Nizamsagar Road, Nizamabad District, Kamareddy, Telangana 503111, India",1619945596000
324,Kamareddy,0,503111,Kamareddy,01/05/2021,5,5,-1,0,9908222204,02:36:24 PM,"JEEVENDAN HOSPITAL, ",-1,0,0,"Nizamsagar Road, Nizamabad District, Kamareddy, Telangana 503111, India",1619859984000
325,Kamareddy,0,503111,Kamareddy,02/05/2021,2,2,-1,3,9848777931,01:58:43 PM,KOUSALIAYA M/S HOSPITAL ,-1,0,3,"Hno 1-1-54 Old, Bus Stand, NGOS Colony, Kamareddy, Telangana 503111, India",1619944123000
326,Kamareddy,0,503111,Kamareddy,02/05/2021,2,2,-1,3,9848777931,01:59:23 PM,KOUSALYA MULTI SEPCIALITY HOSPITAL ,-1,0,3,"5-5-56, Vivekananda Colony, Ashok Nagar, Kamareddy, Telangana 503111, India",1619944163000
327,Kamareddy,1,503111,Kamareddy,26/04/2021,2,2,-1,1,--,04:04:36 PM,KRISHNAVENI CHILDRENS HSPTAL KAMAREDDY.,-1,1,1,"opposite to supritha hospital, Kamareddy, Telangana 503111, India",1619433276000
328,Kamareddy,8,,Kamareddy,01/05/2021,0,0,-1,0,9866071012,10:02:09 AM,Navajeevan Multi Specialty Hospital,-1,10,0,,1619843529000
329,Kamareddy,0,503111,Kamareddy,01/05/2021,3,3,-1,2,9397311544,09:18:30 AM,PARVATHI CHILDRENS HPL GODWAN ROAD. KAMAREDDY,-1,0,2,"Kamareddy, Telangana 503111, India",1619840910000
330,Kamareddy,0,503110,Kamareddy,02/05/2021,5,5,-1,2,9848777931,11:15:03 AM,"RAJAMPET MULTI SPECIALITY HOSPITAL, RAJAMPET, ",-1,0,2,"Rajampet Uunction, Lingayapalle, Telangana 503110, India",1619934303000
331,Kamareddy,0,503111,Kamareddy,02/05/2021,4,4,-1,1,8374191841,01:41:05 PM,RAJYA LAXMI NURSING HOME BESIDE MUNCIPAL OFFICE. KAMAREDDY.,-1,0,1,"Ashok Nagar, Kamareddy, Telangana 503111, India",1619943065000
332,Kamareddy,1,,Kamareddy,02/05/2021,5,2,-1,3,8886100200,08:49:40 AM,R.J.Hospital,-1,6,1,,1619925580000
333,Kamareddy,0,503111,Kamareddy,01/05/2021,10,10,-1,0,9440135380,08:22:52 AM,"R.K,HOSPITAL  HN,1-5-193, NETHAJI ROAD  KAMAREDDY ",-1,0,0,"nethaji road, Kamareddy, Telangana 503111, India",1619837572000
334,Kamareddy,0,503111,Kamareddy,29/04/2021,10,10,-1,5,9160114411,09:49:49 AM,"RUSSH MULTISPECIALITY HOSPITAL, ",-1,10,4,"Kamareddy, Telangana 503111, India",1619669989000
335,Kamareddy,4,503111,Kamareddy,28/04/2021,6,6,-1,0,--,05:26:12 PM,SADHANA HOSPITAL  ,-1,4,0,"sai Bagh Colony high School, Road, Ashok Nagar, Kamareddy, Telangana 503111, India",1619610972000
336,Kamareddy,0,503111,Kamareddy,01/05/2021,4,4,-1,4,--,09:53:16 AM,"SIRI CHILDRENS HOSPITAL, ",-1,0,4,"Sircilla Road, Lachapet, Kamareddy, Telangana 503111, India",1619842996000
337,Kamareddy,0,503187,Kamareddy,02/05/2021,8,8,-1,0,9703165465,12:48:09 PM,"SRI BALAJI HOSPITAL OPP SRIRAMANDIR, BANSWADA",-1,0,0,"Banswada, Telangana 503187, India",1619939889000
338,Kamareddy,0,503111,Kamareddy,01/05/2021,0,0,-1,10,9848969713,03:10:57 PM,SRI GANESH MULTI SPECIALITY HOSPITAL DAILY MARKET ,-1,0,7,"H.HO-1-7-73, DAILY MARKET, Padmajiwadi X Road, Kamareddy, Telangana 503111, India",1619862057000
339,Kamareddy,0,503111,Kamareddy,02/05/2021,2,2,-1,3,9849346044,01:37:43 PM,"SRI GANGA CHILDRENS HPL SIRCILLA ROAD, KAMAREDDY",-1,0,3,"Kamareddy, Telangana 503111, India",1619942863000
340,Kamareddy,0,503111,Kamareddy,30/04/2021,5,5,-1,3,9849346044,01:10:29 PM,"SRI. JANANI MOTHER AND CHILD HOSPITAL,KAMAREDDY",-1,0,3,"1, Madina Masjid Rd, Kamareddy, Telangana 503111, India",1619768429000
341,Kamareddy,0,503111,Kamareddy,02/05/2021,5,5,-1,0,9849963996,01:27:30 PM,SRINIVAS CHILDRENS HPL. SAI BHAG. KAMAREDDY,-1,0,0,"Nizamabad, SH-11, Kamareddy Sircilla Road, Kamareddy, Ashok Nagar, Kamareddy, Telangana 503111, India",1619942250000
342,Kamareddy,3,503111,Kamareddy,02/05/2021,10,9,-1,2,9949028128,12:48:53 PM,"SRI PADMAVATHI MULTISPECILITY HOSPITAL, ",-1,3,2,"Near New Bus Stand, NGOS Colony, Kamareddy, Telangana 503111, India",1619939933000
343,Kamareddy,0,503111,Kamareddy,28/04/2021,3,3,-1,4,--,03:55:44 PM,"SRI RAMA MULTI SPECIALITY HOSPITAL,NH-7,KAMAREDDY.",-1,0,4,"NH 44, Ashok Nagar, Kamareddy, Telangana 503111, India",1619605544000
344,Kamareddy,1,503111,Kamareddy,02/05/2021,2,2,-1,2,9290556081,09:52:33 AM,SRI SAI KRISHNA HOSPITAL ,-1,1,2,"5-8-236/A, Ashok Nagar Rd, Ashok Nagar, Kamareddy, Telangana 503111, India",1619929353000
345,Kamareddy,0,503111,Kamareddy,02/05/2021,8,8,-1,2,9849822133,12:56:35 PM,SRI SAISIMHAMULTI SPECIALITY HOSPITALR. ,-1,0,2,"Hno 1-1-54 Old, Bus Stand, NGOS Colony, Kamareddy, Telangana 503111, India",1619940395000
346,Kamareddy,0,503111,Kamareddy,02/05/2021,2,2,-1,3,--,09:05:33 AM,SRI VENKETESHWAR CHILDRENS HPL.GODWAN ROAD ,-1,0,3,"Kamareddy, Telangana 503111, India",1619926533000
347,Kamareddy,0,503122,Kamareddy,02/05/2021,20,20,-1,5,9000489838,12:39:49 PM,SRI VENKETESHWAR NURSING HOME YELLAREDDY,-1,0,5,"Yellareddy, Telangana 503122, India",1619939389000
348,Kamareddy,0,503310,Kamareddy,28/04/2021,5,5,-1,0,--,04:08:27 PM,"SUNDAR HPL,PITLAM.",-1,0,0,"Pitlam, Telangana 503310, India",1619606307000
349,Kamareddy,0,503111,Kamareddy,02/05/2021,3,3,-1,2,9440228613,12:39:33 PM,"S.V.CHILDREN HOSPITAL, ",-1,0,2,"Kamareddy, Telangana 503111, India",1619939373000
350,Kamareddy,0,503111,Kamareddy,02/05/2021,4,1,-1,4,8468222550,01:59:40 PM,SVR HOSPITAL SIRCILLA ROAD KAMAREDDY,-1,0,1,"Lachapet, Kamareddy, Telangana 503111, India",1619944180000
351,Kamareddy,0,503111,Kamareddy,02/05/2021,5,5,-1,5,--,11:11:17 AM,"THIRUMALA N/H,KAMAREDDY. ",-1,0,5,"Kamareddy, Telangana 503111, India",1619934077000
352,Kamareddy,1,503111,Kamareddy,01/05/2021,5,5,-1,4,9849204567,12:45:07 PM,"VARSHA HOSPITAL, GODOWN ROAD",-1,1,4,"Beside Kamareddy CT Scan, Godam Road, near Narender Rao Children Hospital, Kamaareddy, Kamareddy, Telangana 503111, India",1619853307000
353,Kamareddy,3,,Kamareddy,01/05/2021,6,6,-1,6,9666696622,07:33:37 PM,Vasavi Gastro & Multi Specialty Hospital,-1,3,6,,1619877817000
354,Kamareddy,0,503111,Kamareddy,02/05/2021,6,6,-1,0,9618001880,01:30:05 PM,VYASHANAVI HOSPITAL RAMA REDDY -KAMAREDDY,-1,0,0,"Kamareddy, Telangana 503111, India",1619942405000
355,Kamareddy,0,503122,Kamareddy,02/05/2021,7,7,-1,3,9908932322,11:13:52 AM,"YELLAREDDY SUPER SPECIALITY, YELLAREDDY, NIZAMABAD. (DIST)",-1,0,3,"Yellareddy, Telangana 503122, India",1619934232000
356,Karimnagar,2,,Karimnagar,02/05/2021,8,8,-1,9,9849059462,09:25:45 AM,"Abhilash Hospital, Karimnagar",-1,7,7,,1619927745000
357,Karimnagar,12,505001,Karimnagar,02/05/2021,15,15,-1,6,8125014989,02:43:18 PM,ABHISHEK HOSPITALS KARIMNAGAR,-1,12,6,"SH 7, Christian Colony, Karimnagar, Telangana 505001, India",1619946798000
358,Karimnagar,0,505001,Karimnagar,02/05/2021,18,2,-1,18,9966666360,08:34:34 AM,ADARSHA HOSPITAL- KARIMNAGAR,-1,14,0,"Door No. 2-8-85, Telangana Chowk, beside Padmanayaka Kalyana Mandapam, Jyothinagar, Karimnagar, Telangana 505001, India",1619924674000
359,Karimnagar,23,505001,Karimnagar,02/05/2021,0,0,-1,11,9493773388,02:23:01 PM,AKHIRA HOSPITAL,-1,25,10,"Vavilalapally, Karimnagar, Telangana 505001, India",1619945581000
360,Karimnagar,0,505001,Karimnagar,02/05/2021,0,0,-1,15,9949390340,10:35:23 AM,APEX HOSPITAL,-1,10,0,"6-6-384, Sharma Nagar, Karimnagar, Telangana 505001, India",1619931923000
361,Karimnagar,0,505001,Karimnagar,02/05/2021,8,2,-1,0,8886710444,07:34:57 AM,APOLLO REACH HOSPITAL - KARIMNAGAR,-1,44,0,"Railways Station Road Road Number 2, Subhash Nagar, Karimnagar, Telangana 505001, India",1619921097000
362,Karimnagar,0,,Karimnagar,02/05/2021,0,0,-1,12,7032800220,07:12:10 AM,Balaji Hospital-Karimnagar,-1,0,11,,1619919730000
363,Karimnagar,0,505001,Karimnagar,02/05/2021,300,286,-1,125,8499808066,11:31:31 AM,CHALMEDA ANANDARAO INSTITUTE OF MEDICAL SCIENCES - BOMMAKAL,-1,25,36,"Village, Bommakal, Telangana 505001, India",1619935291000
364,Karimnagar,1,505001,Karimnagar,02/05/2021,15,0,-1,13,9666416767,11:29:20 AM,CITY HOSPITAL KARIMNAGAR,-1,6,0,"3-1-334, beside Civil hospital, Christian Colony, Karimnagar, Telangana 505001, India",1619935160000
365,Karimnagar,0,505001,Karimnagar,02/05/2021,0,0,-1,12,9959577751,04:35:07 AM,CVM HOSPITAL - KARIMNAGAR,-1,54,0,"Sawaran St, Christian Colony, Karimnagar, Telangana 505001, India",1619910307000
366,Karimnagar,2,505001,Karimnagar,02/05/2021,4,1,-1,0,9666416767,09:32:20 AM,DR VEERA REDDY HOSPITAL,-1,4,0,"3-4, 223/224, Hospital St, Azmath Pura, Sai Nagar, Karimnagar, Telangana 505001, India",1619928140000
367,Karimnagar,0,505001,Karimnagar,01/05/2021,12,6,-1,12,9866235548,12:04:53 PM,FORTUNE MEDICOVER HOSPITAL - KARIMNAGAR,-1,10,0,"3-1-341-1, Christian Colony Rd, Christian Colony, Karimnagar, Telangana 505001, India",1619850893000
368,Karimnagar,9,505001,Karimnagar,02/05/2021,10,6,-1,20,9492213108,01:00:21 PM,GLOBAL MAXX MULTI SPECIALITY HOSPITAL,-1,20,20,"Saraswathi Nagar, Karimnagar, Telangana 505001, India",1619940621000
369,Karimnagar,3,505001,Karimnagar,02/05/2021,18,2,-1,10,8978598999,08:59:00 AM,GOODLIFE- KARIMNAGAR,-1,12,0,"SFK complex, Hospital St, Christian Colony, Karimnagar, Telangana 505001, India",1619926140000
370,Karimnagar,6,505001,Karimnagar,02/05/2021,4,0,-1,10,9866223258,09:28:38 AM,KAMAKSHI HOSPITAL-KARIMNAGAR,-1,9,2,"3-3-169/A, Hospital St, Christian Colony, Karimnagar, Telangana 505001, India",1619927918000
371,Karimnagar,0,505001,Karimnagar,02/05/2021,5,0,-1,5,9885657828,08:26:02 AM,KARTHIKEYA MULTI SPECIALITY HOSPITAL,-1,5,0,"Sharma Nagar, Karimnagar, Telangana 505001, India",1619924162000
372,Karimnagar,1,,Karimnagar,02/05/2021,5,0,-1,9,9966550099,02:32:26 PM,KEA HOSPITAL-Karimnagar,-1,1,1,,1619946146000
373,Karimnagar,2,505001,Karimnagar,02/05/2021,10,5,-1,10,9966827072,08:18:09 AM,KELVIN HOSPITAL,-1,12,3,"Vavilalapally, Karimnagar, Telangana 505001, India",1619923689000
374,Karimnagar,18,505001,Karimnagar,01/05/2021,0,0,-1,0,9440415130,08:10:26 PM,LEPAKSHI HOSPITAL - KARIMNAGAR,-1,40,0,"Unnamed Road, Sai Nagar, Karimnagar, Telangana 505001, India",1619880026000
375,Karimnagar,1,505001,Karimnagar,02/05/2021,5,0,-1,5,9384104108,07:36:46 AM,MAHATHI HOSPITAL - KARIMNAGAR,-1,10,0,"6-6-218, NEHRU GANJ, Karimnagar, Telangana 505001, India",1619921206000
376,Karimnagar,0,505001,Karimnagar,02/05/2021,3,1,-1,0,9949514805,11:36:38 AM,MANJUNATHA HOSPITAL,-1,7,0,"535, Hospital St, Christian Colony, Karimnagar, Telangana 505001, India",1619935598000
377,Karimnagar,0,505001,Karimnagar,02/05/2021,10,0,-1,20,9505622000,08:17:04 AM,MEDICOVER HOSPITAL - KARIMNAGAR,-1,20,5,"Old Employment Office Road Civil Hospital Back-side, Christian Colony, Karimnagar, Telangana 505001, India",1619923624000
378,Karimnagar,4,,Karimnagar,02/05/2021,28,26,-1,0,7306510082,11:29:42 AM,MEE KUMAR HOSPITAL,-1,13,0,,1619935182000
379,Karimnagar,0,505001,Karimnagar,02/05/2021,0,0,-1,5,9701444544,02:45:10 PM,MEENAKSHI HOSPITAL,-1,10,0,"Old employment office chowrastha, 3, Prashanth Nagar Rd, Christian Colony, Karimnagar, Telangana 505001, India",1619946910000
380,Karimnagar,5,505001,Karimnagar,02/05/2021,0,0,-1,0,9010304133,01:04:53 PM,MURUGAN HOSPITAL,-1,15,0,"426/2,, 6-6-426/2, Hospital St, Azmath Pura, Sai Nagar, Karimnagar, Telangana 505001, India",1619940893000
381,Karimnagar,0,505001,Karimnagar,02/05/2021,12,4,-1,7,9949655535,07:46:38 AM,NOVA HOSPITAL - KARIMNAGAR,-1,11,0,"535, Hospital St, Christian Colony, Karimnagar, Telangana 505001, India",1619921798000
382,Karimnagar,4,,Karimnagar,02/05/2021,3,2,-1,0,8686834346,01:43:43 PM,"Omkar hospital, Karimnagar",-1,6,0,,1619943223000
383,Karimnagar,9,505001,Karimnagar,02/05/2021,18,10,-1,18,7732007700,09:02:13 AM,ORCHID HOSPITALS,-1,14,4,"# 5-3, Sri Sura Lachaiah complex, Railway Station Road, Saraswathinagar Rd, Subhash Nagar, Karimnagar, Telangana 505001, India",1619926333000
384,Karimnagar,0,505417,Karimnagar,02/05/2021,125,104,-1,10,9440120517,09:27:24 AM,PRATHIMA INSTITUTE OF MEDICAL SCIENCES - KARIMNAGAR,-1,15,7,"Nagunur, Telangana 505417, India",1619927844000
385,Karimnagar,26,505001,Karimnagar,02/05/2021,0,0,-1,24,9849037204,09:40:38 AM,PULLELLA HOSPITAL - KARIMNAGAR,-1,26,4,"NH7, Vavilalapalli, Subhash Nagar, Karimnagar, Telangana 505001, India",1619928638000
386,Karimnagar,1,505001,Karimnagar,02/05/2021,5,0,-1,7,9966772355,07:10:09 AM,"RAJAN HOSPITAL - PRASHANTH NAGAR, KARIMNAGAR",-1,8,0,"Hno 3-1-445, Prashanth Nagar Rd, Colony, Karimnagar, Telangana 505001, India",1619919609000
387,Karimnagar,5,,Karimnagar,02/05/2021,3,3,-1,2,9493103108,01:09:36 PM,RBR Hospital -Karimnagar,-1,5,2,,1619941176000
388,Karimnagar,0,505001,Karimnagar,02/05/2021,15,5,-1,35,9000927576,08:15:43 AM,RENNE HOSPITAL - KARIMNAGAR,-1,20,1,"Adarsha Nagar, Adarsh Nagar, Indira Nagar Colony, Karimnagar, Telangana 505001, India",1619923543000
389,Karimnagar,7,,Karimnagar,02/05/2021,4,4,-1,4,9848870843,08:06:44 AM,SAANVIKA MULITI SUPER SPECIALITY HOSPITAL -KARIMNAGAR,-1,7,0,,1619923004000
390,Karimnagar,4,505001,Karimnagar,30/04/2021,2,0,-1,0,9866894577,07:54:10 PM,SAI ASWIKA HOSITAL,-1,6,0,"Karimnagar - Peddapelli Rd, near Balaji Hospital, Vavilalapally, Karimnagar, Telangana 505001, India",1619792650000
391,Karimnagar,0,505001,Karimnagar,30/04/2021,11,1,-1,3,9849676708,01:30:35 PM,SAI HOSPITALS,-1,0,0,"6-6-565/1, Hospital St, Saheth Nagar, Karimnagar, Telangana 505001, India",1619769635000
392,Karimnagar,3,505001,Karimnagar,02/05/2021,10,0,-1,0,9676964650,12:27:34 PM,SAI KRISHNA HOSPITAL- KARIMNAGAR,-1,20,0,"Vavilalapally, Karimnagar, Telangana 505001, India",1619938654000
393,Karimnagar,0,505001,Karimnagar,02/05/2021,2,0,-1,10,9701074742,01:01:59 PM,SAI SHARANYA HOSPITAL - KARIMNAGAR,-1,8,0,"2-8-206, Sai Sharanya Hospital Road, Near 7Hills, Mukarrampura, Jyothinagar, Jyothinagar, Karimnagar, Telangana 505001, India",1619940719000
394,Karimnagar,2,505001,Karimnagar,27/04/2021,5,5,-1,2,9618608080,02:06:19 PM,SAPTHAGIRI HOSPITAL,-1,2,2,"Christian Colony, Karimnagar, Telangana 505001, India",1619512579000
395,Karimnagar,10,,Karimnagar,01/05/2021,5,5,-1,5,7799579872,04:31:36 PM,Sparsh Children Hospital-Karimnagar,-1,10,5,,1619866896000
