id,total_beds_allocated_to_covid,available_icu_beds_with_ventilator,pincode,total_beds_without_oxygen,officer_name,hospital_phone,officer_designation,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,hospital_address,district,total_beds_with_oxygen,available_beds_with_oxygen,last_updated_on,hospital_category,area,fee_regulated_beds,available_beds_without_oxygen,total_icu_beds_without_ventilator,charges
104,8,0,,0,No Data Available,8446479548,No Data Available,MATRUCHHAYA NURSING HOME ( Warje),0,0,"1st floor, Ankur Plaza, Near, Warje Flyover, chwok, Warje, Pune, Maharashtra 411058",Pune,8,2,1619877346000,DCHC,PMC,0,0,0,Chargeable
105,23,0,,0,No Data Available,9850403026,No Data Available,Medicare Hospital ( Hadapsar),0,0,"Near Amanora City, Opposite Suzlon Energy,  Malwadi,  Sadesatra Nali, Hadapsar, Pune - 411028",Pune,23,0,1619931251000,DCHC,PMC,0,0,0,Chargeable
106,65,0,,15,No Data Available,020 67643200,No Data Available,Medipoint hospital  ( Aundh),0,2,New DP rd aundh baner,Pune,40,0,1619943239000,DCHC,PMC,0,7,8,Chargeable
107,45,0,,27,No Data Available,020-67212000,No Data Available,Meera Hospital ( Bhawani Peth ),0,1,"710, B-4, Shankar Sheth Rd, Chitragupt Colony, Shanti Nagar Society, Bhawani Peth, Pune, Maharashtra 411042",Pune,15,0,1619942977000,DCHC,PMC,0,10,2,Chargeable
108,20,0,,5,No Data Available,9923232233,No Data Available,Minerna hospital ( Shivne ),0,1,"ingale pride bldg, ingale colony, NDA rd, shivne pune 23",Pune,9,0,1619938226000,DCHC,PMC,0,0,5,Chargeable
109,65,0,,13,No Data Available,020-41499999,No Data Available,MJM Hospital ( Shivajinagar ),0,1,"1194, Janardan Sadan, Ghole rd, Shivajinagar, pune 05",Pune,48,0,1619438169000,DCHC,PMC,0,2,3,Chargeable
110,10,0,,8,No Data Available,9970108711,No Data Available,Morya Hospital ( Fursungi ),0,0,"Deshkukh estate, 1st Floor, Above Fedral Bank, Opp IBM, Pune Saswad rd, Bhekrai Nagar, Fursungi, Pune 412308",Pune,2,0,1619943024000,DCHC,PMC,0,3,0,Chargeable
111,48,0,,0,No Data Available,9921714141,No Data Available,Morya Multi-specialty Hospital ( Sinhgad rd ),0,2,"Anudatta Commercial Complex, Sinhgad Rd, Wadgaon Budruk, Narhe, Pune, Maharashtra 411041",Pune,46,0,1619943090000,DCHC,PMC,48,0,0,Chargeable
112,30,0,,1,No Data Available,"020-67636400, 9607996716",No Data Available,N M Wadia institute of Cardiology ( Sasson rd ),0,2,"sasson rd, pune 411001",Pune,24,0,1619943510000,DCHC,PMC,0,0,3,Chargeable
113,15,0,,1,No Data Available,9822091755,No Data Available,nagare nursing home ( Uttamnagar ),0,0,"NDA rd, uttamnagar pune 411023",Pune,14,12,1619850048000,DCHC,PMC,0,1,0,Chargeable
114,25,0,,0,No Data Available,9823137136 / 020 26970300 /9834201640,No Data Available,Navjeevan Nursing Home ( Hadapsar ),0,0,"Galli No 4 B, Sayyed Nagar, Hadapsar, Pune 28",Pune,25,0,1619846986000,DCHC,PMC,0,0,0,Chargeable
115,10,0,,0,No Data Available,9833763903,No Data Available,New Pune Hospital  & Nursing Home ( Kondhwa Khurd ),0,0,"402, A 2, Kasturba Housing Soc, Kondhwa Khurd,48",Pune,7,0,1618830943000,DCHC,PMC,0,0,3,Chargeable
116,11,0,,5,No Data Available,9511295983,No Data Available,New Sofia Clinic ( Kondhwa KH ),0,0,"city tower bldg, 1st floor,near suzuki showroom,kauser baugh kondhwa khurd, pune 48",Pune,6,5,1619938332000,DCHC,PMC,0,5,0,Chargeable
117,12,0,,4,No Data Available,"020-25501015, 9422030442,9689934284",No Data Available,Nikhil Polyclinic ( Yerwada ),0,0,"1st Lane, Nagpur chawl, Air Port Road,Pune 06",Pune,8,0,1618119896000,DCHC,PMC,0,0,0,Chargeable
118,300,0,,36,Shree.Mangesh Dighe,9823080895,Environment Officer Pune Muncipal Corporation,"NOBLE HOSPITAL, ( Hadapsar )",0,43,"153, Road, Magarpatta, Hadapsar, Pune, Maharashtra 411013",Pune,209,0,1619936454000,DCHC,PMC,300,0,12,Chargeable
119,37,0,,6,No Data Available,9922566400,No Data Available,ORCHID HOSPITAL ( Lohegaon ),0,4,"L-Square, Porwal Road, Sr. No. - 282/3/3, Off. Dhanori Jakat Naka, Lohegaon, Pune, Maharashtra 411047",Pune,20,0,1619624264000,DCHC,PMC,0,0,7,Chargeable
120,105,0,,0,No Data Available,020-67216620,No Data Available,Oyster and Pearl Hospital ( Shivajinagar ),0,5,"1671, 75, Ganeshkhind Rd, Near Hotel Pride, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005",Pune,95,0,1619675442000,DCHC,PMC,0,0,5,Chargeable
121,9,0,,4,No Data Available,9823588880 / 9762268113,No Data Available,Panchsheel Hospital ( NANA PETH ),0,0,"368, Nana Peth, Pune -02",Pune,5,2,1619920992000,DCHC,PMC,0,2,0,Chargeable
122,10,0,,7,NA,020-24378052 / 9028775027,No Data Available,PARAS NURSING HOME ( Dhankawadi ),0,0,GULAB NAGAR.PLOT NO 1 DHANKAWADI,Pune,3,0,1619858800000,DCHC,PMC,0,4,0,Chargeable
123,10,0,,4,No Data Available,9881204452,No Data Available,Paravati General Hospital (  Dandekar Bridge ),0,0,"Sr.No.132/A Yogeshwar Complex, Dandekar Bridge Near Indian oil petrol pump,pune 30",Pune,6,1,1619939087000,DCHC,PMC,0,4,0,Chargeable
124,22,0,,0,No Data Available,8888302638,No Data Available,PARMAR HOSP ( AUNDH ),0,0,"PLOT NO 13, PARIHAR CHOWK AUNDH PUNE 411007",Pune,12,0,1619675217000,DCHC,PMC,0,0,10,Chargeable
125,15,0,,10,No Data Available,8605121899,No Data Available,Patil Hospital ( Dattananagar ),0,0,Dattananagr pune 46,Pune,5,3,1619881875000,DCHC,PMC,0,5,0,Chargeable
126,45,0,411051,13,No Data Available,9225825461,No Data Available,"Patil Hospital,Sinhgad Road, Pune",0,2,"Survery No 28, Hingne Khurd, Sinhagad Road, Narveer Tanaji Malusare Rd, Anand Nagar, Pune, Maharashtra 411051",Pune,30,0,1619938859000,DCHC,PMC,0,2,0,Chargeable
127,53,0,,26,No Data Available,020-24372008 /9860888892,No Data Available,Pawar Hospital ( Dhankawadi ),0,2,"49/22, Balajai nagar Dhankawadi pune 43",Pune,20,2,1619838758000,DCHC,PMC,0,11,5,Chargeable
128,15,0,,0,No Data Available,"8237421291,9960027206",No Data Available,Pearl hospital ( Hadapsar ),0,0,"311 gandharvgeet sasane nagar , hadapsar, pune",Pune,15,0,1619938295000,DCHC,PMC,0,0,0,Chargeable
129,6,0,,0,No Data Available,9224688223,No Data Available,Prabha Hospital ( Hadapsar ),0,0,"Sr.NO.174/2/28/ Opp  Bank Of Maharashtra, Pune Saswad rd, Hadapsar, Pune",Pune,6,0,1619444657000,DCHC,PMC,0,0,0,Chargeable
130,10,0,,5,No Data Available,9822844243 / 020-24354612,No Data Available,Prachiti Hospital & Research Center ( Sinhgad rd ),0,0,"Sinhgad rd, Hingane Khurd , Pune 411051",Pune,5,0,0,DCHC,PMC,0,0,0,Chargeable
131,18,0,,10,No Data Available,9552016103 / 8459960099,No Data Available,prakash hospital( hadapsar),0,1,"shatanand complex, hadapsar ( gadital) pune 28",Pune,7,1,1619943661000,DCHC,PMC,0,4,0,Chargeable
132,15,0,,0,No Data Available,"020 2553 2490,25532812",No Data Available,Prayag Hospital ( Deccan Gymkhana ),0,1,"1247, Deecan Gymkhana, pune 4",Pune,12,0,1619922864000,DCHC,PMC,0,0,2,Chargeable
133,28,0,,2,No Data Available,9975586761,No Data Available,PRIME MULTISPECIALITY HOSPITAL ( Kondhwa ),0,4,"Bus Stop, Shakuntal Chembers, near Sus, Pune, Maharashtra 411021",Pune,18,0,1619884124000,DCHC,PMC,0,0,4,Chargeable
134,27,0,,0,No Data Available,9420730717,No Data Available,pune Adventist Hospital (Market Yard ),0,2,"Salisbury Park, Post Box 1405, Market Yard, Gultekdi, Pune, Maharashtra 411037",Pune,23,0,1619944905000,DCHC,PMC,0,0,2,Chargeable
135,15,0,,0,No Data Available,9552730390,No Data Available,Rahee Healthcare ( Bibwewadi ),0,0,"3 rd Floor, Bibwewadi caunsing chowk, pune satara rd,pune 411009",Pune,15,0,1619807400000,DCHC,PMC,0,0,0,Chargeable
136,36,0,,0,02026111528,NA,No Data Available,Railway Hospital ( Station rd ),0,0,Station rd,Pune,36,0,1619928091000,DCHC,PMC,0,0,0,Chargeable
137,5,0,,0,No Data Available,9422080954,No Data Available,Ram Krushna Hospital ( Tilak rd ),0,0,"1536, Sadashiv Peth, Tilak rd, pune 411030",Pune,5,3,1619945519000,DCHC,PMC,0,0,0,Chargeable
138,32,0,,5,No Data Available,"9503606607, 7387601495",No Data Available,Ranka Hospital ( Swargate ),0,0,"157 / 5, SS Dhage Rd, Mukund Nagar, near Swargate, Pune, Maharashtra 411037",Pune,25,15,1619940204000,DCHC,PMC,0,4,2,Chargeable
139,90,0,,36,Shree. Shreenivas Bonala,9881719891/7385509944,Cheif Engineer Project Pune Muncipal Corporation,Rao Nursing Home ( Bibwewadi),0,4,"Survey No. 691A-1A-1 CTS No. 1897-B, Pune - Satara Rd, Bibwewadi, Pune, Maharashtra 411037",Pune,48,0,1619841619000,DCHC,PMC,0,0,2,Chargeable
140,81,0,,44,Shree.Subhash Bhagade,020-41097777 / 8087634507,Deputy District Officer Land Acquisition District Officer's Office,Ratna Memorial Hospital ( Senapati Bapat rd ),0,2,"968, Senapati Bapat Rd, Sheti Mahamandal, Shivaji Co operative Housing Society, Ramoshivadi, Wadarvadi, Pune, Maharashtra 411053",Pune,30,0,1619941558000,DCHC,PMC,49,0,5,Chargeable
141,19,0,,0,No Data Available,020-26999186 / 9423013305,No Data Available,Remedy Hospital ( Hadapsar ),0,1,"sr.no.228, ramanand complex, near janseva bank, hadapsar, pune 411028",Pune,17,0,1619904622000,DCHC,PMC,25,0,1,Chargeable
142,53,0,411057,25,No Data Available,954521331,No Data Available,"RUBY HALL CLINIC, Hinjawadi",0,2,"Rajeev Gandhi Infotech Park, MIDC Phase No 1, Plot No, P-33, Hinjawadi - Wakad Rd, Pune, Maharashtra 411057",Pune,20,4,1619946140000,DCHC,PMC,0,6,6,Chargeable
143,30,0,,0,No Data Available,9860669463,No Data Available,"Ruby Hall Clinic, Wanowrie",0,2,"59/6, Kedari Nagar Rd, Disney Park, Azad Nagar, Wanowrie, Pune, Maharashtra 411040",Pune,26,0,1619942936000,DCHC,PMC,0,0,2,Chargeable
144,15,0,,3,No Data Available,7045800800/9960399949,No Data Available,SAHARA MULTISPECILITY HOSPITAL( Shinhgad rd ),0,0,"YASH PLAZA DANDEKAR POOL, SHINHGAD RD PUNE 30",Pune,12,0,1619885754000,DCHC,PMC,0,0,0,Chargeable
145,20,0,,4,No Data Available,020-67213700,No Data Available,Sahyadri hospital ( bibawewadi),0,3,"S. No. 573, City No. 281, Swami Vivekanand Marg,  Bibwewadi  Pune- 411037",Pune,9,0,1619945131000,DCHC,PMC,0,0,4,Chargeable
146,100,0,411028,35,Shree.Mangesh Dighe,02067210524 / 7620348095,Environment Officer Pune Muncipal Corporation,Sahyadri Hospital (Hadapsar),0,11,"SN 163, Bhosale Garden Rd, beside Bhosale Nagar, Hadapsar, Pune, Maharashtra 411028",Pune,45,0,1619945668000,DCHC,PMC,80,0,9,Chargeable
147,95,0,,26,Dr.Bharat Waghmare,9839231840,Deputy District Officer & DIstrict Rehabilition Officer District Officers Office,Sahyadri Hospital Karve Road Deccan,0,8,"Plot No. 30-C, Erandvane, Karve Rd, Deccan Gymkhana, Pune, Maharashtra 411004",Pune,53,0,1619940664000,DCHC,PMC,84,0,8,Chargeable
148,38,0,411038,4,No Data Available,9370716940,No Data Available,Sahyadri Hospital Kothrud,0,2,"Neena Co-op. Housing Society, Plot No. 9-B, S.No.1484A/B, Opp. Vanaz, Jijau Masaheb Marg, Lokmanya Colony, Kothrud, Pune, Maharashtra 411038",Pune,30,0,1619943541000,DCHC,PMC,38,0,2,Chargeable
149,155,0,,85,Shree.Avinash Hadgal,088062 52525,Deputy District Officer & Regional Officer MIDC Pimpari Chinchwad,SAHYADRI HOSPITAL NAGAR ROAD,0,12,"Near Hermes Heritage, Nagar Rd, Shastrinagar, Yerawada, Pune, Maharashtra 411006",Pune,50,0,1619942642000,DCHC,PMC,113,2,8,Chargeable
150,80,0,,35,No Data Available,", 7821074109,9822518726",No Data Available,Sai Prasad Hospital ( Dattannagar ),0,0,"Sr.No.33, Opp Vasundhara SocFreinds BLDG, Near Ganesh Mandir, Bharati Vidyapith, Dattanagar rd,",Pune,45,2,1619940954000,DCHC,PMC,0,18,0,Chargeable
151,13,0,,0,No Data Available,9923322903,No Data Available,Sai Samarth Hospital ( Kasba Peth ),0,1,"survey No 1486, Near Daruwala Pool, Kasba Perth, Pune - 411011",Pune,12,0,1619943068000,DCHC,PMC,0,0,0,Chargeable
152,22,0,,0,No Data Available,7741973792,No Data Available,Sai Shraddha Hospital ( Lohgaon ),0,2,LOHGAON,Pune,20,0,1619454221000,DCHC,PMC,0,0,0,Chargeable
153,25,0,,5,No Data Available,9860576115,No Data Available,Sai Spandan Hospital ( Hadapsar ),0,2,Shivam complex near sadhana bank pune solapur rd hadapsar,Pune,16,0,1619862850000,DCHC,PMC,0,2,2,Chargeable
154,15,0,,0,No Data Available,020-27035243,No Data Available,Salunke hospital ( Wadgaon Sheri ),0,0,"ganesh nagar, near sundarbai marathe Wadgaon sheri pune",Pune,15,15,1618897540000,DCHC,PMC,0,0,0,Chargeable
155,40,0,,13,No Data Available,020 27999999,No Data Available,Sancheti Hospital ( Shivajinagar ),0,2,"11/12 Thube Park 16, Shivajinagar, Pune, Maharashtra 411005",Pune,25,0,1619845874000,DCHC,PMC,40,3,0,Chargeable
156,34,0,,13,No Data Available,9850730341,No Data Available,sane guruji aarogy kendra ( Hadapsar ),0,3,"hadapsar, pune 28",Pune,15,0,1619933731000,DCHC,PMC,0,10,3,Chargeable
157,80,0,,14,Dr.Bharat Waghmare,7887882698,Deputy District Officer & DIstrict Rehabilition Officer District Officers Office,Sanjeevan Hospital ( karve rd ),0,6,"F.P23, off Karve Road, Kashibai Khilare Path, Opposite Pune Cenrtal, Pune, Maharashtra 411004",Pune,42,0,1619932245000,DCHC,PMC,48,0,18,Chargeable
158,24,0,411023,0,No Data Available,9822011384,No Data Available,Sanjeevani Hospital ( uttamnagar),0,1,"Uttam Nagar, Maharashtra 411023",Pune,23,6,1619945257000,DCHC,PMC,24,0,0,Chargeable
159,18,0,,0,No Data Available,9970785525,No Data Available,Sathe Hospital ( Deccan Gymkhana ),0,0,"759, 4, Above Post Office, Deccan Gymkhana, Pune, Maharashtra 411004",Pune,15,2,1619943094000,DCHC,PMC,0,0,3,Chargeable
160,15,0,,3,No Data Available,8408835991,No Data Available,sathe Hospital ( Lohgaon ),0,0,"Sr.NO.281/3/1, Vansh  Galaxy, Porwal rd, New  Dhanori Jakatnaka, Pune 47",Pune,12,0,1619944185000,DCHC,PMC,0,3,0,Chargeable
161,12,0,411015,5,No Data Available,904934970,No Data Available,Seetai Hospital ( Vishrantwadi ),0,0,"Dattram Bhavan, Alandi Rd, Vishrant Society, Visharant Wadi, Kirkee, Maharashtra 411015",Pune,7,0,1619848046000,DCHC,PMC,0,5,0,Chargeable
162,50,0,,30,No Data Available,9834797745 / 9145614638/020 26336945,No Data Available,Seth tarachand ramnath charitable ayurvedic hospital ( Rasta Peth ),0,0,"Rasta Peth, Pune - 411011, Near Apolo Tokij and IndraPrasht and Raj Dhanraj School (Map)",Pune,20,13,1619925092000,DCHC,PMC,50,22,0,Chargeable
163,20,0,,10,No Data Available,9326183611,No Data Available,Shah Accident Hospital ( Yerwada ),0,0,"Neeta Park, Air Port rd, Yerwada, Pune 411006",Pune,10,5,1619943245000,DCHC,PMC,0,9,0,Chargeable
164,20,0,,0,No Data Available,24350286,No Data Available,Sharad Hospital (sinhgad rd),0,0,"opp funtime theater, near canal, wadgon bk pahta, sinhgad rd, pune 51",Pune,20,0,1619844653000,DCHC,PMC,20,0,0,Chargeable
165,10,0,,2,No Data Available,9850066878,No Data Available,Sharda Hospital (Fursungi ),0,0,"Sr.No. 177, Bhekarai Nagar, Fursungi",Pune,8,0,1619896152000,DCHC,PMC,0,0,0,Chargeable
166,26,0,411038,0,No Data Available,8380044076/9673331019,No Data Available,"Shashwat Hosp, Kothrud",0,4,"22, Happy Colony, Kothrud, Pune, Maharashtra 411038",Pune,20,0,1619944229000,DCHC,PMC,0,0,2,Chargeable
167,45,0,411007,0,No Data Available,9922944083,No Data Available,"Shashwat Hospital, Aundh",0,1,"Next To DAV School, Opposite Aundh Telephone Exchange, Baner DP Road, Aundh, near Gaikwad Petrol Pump, Pune, Maharashtra 411007",Pune,40,0,1619945658000,DCHC,PMC,0,0,4,Chargeable
168,10,0,,0,No Data Available,9921482070,No Data Available,shatayu  hospital ( mundhawa ),0,0,"near aryan hostal, lonkar vasti,manjari rd, keshvanagar,mundhawa,pune 36",Pune,8,1,1619942929000,DCHC,PMC,0,0,2,Chargeable
169,10,0,,4,No Data Available,9890102089,No Data Available,shatayu hospital ( Dhankawadi ),0,0,"Sr.No. 30/3/8 Sonawane Complex, Balajinagar, Near Shree Shankar math, Dhankawadi  pune 43",Pune,2,0,1619756835000,DCHC,PMC,0,0,4,Chargeable
170,12,0,,6,No Data Available,7620960342,No Data Available,Shatayu Hospital ( Wadgaon ),0,0,"Sr.NO.12/3 a +4/ 2 a, lagdmal, Wadgaon BK, Rajyoga Soc Rasta, Pune 41",Pune,6,0,1619493348000,DCHC,PMC,0,0,0,Chargeable
171,10,0,,5,No Data Available,020-26380058,No Data Available,Shinde Nursing Home ( Bhawani Peth ),0,0,"71, Bhawani Peth,Geetanjali Complex, GulALi Pune 42",Pune,5,0,1619894222000,DCHC,PMC,0,0,0,Chargeable
172,44,0,412308,11,No Data Available,7755929401,No Data Available,Shivam Hosp.( fursungi),0,3,"Next to DSK Supinfocom International Campus, Near Loni Toll Naka, Pune Solapur Highway, Haveli, Pune, Fursungi, Maharashtra 412308",Pune,28,0,1619931353000,DCHC,PMC,0,0,2,Chargeable
173,15,0,,5,No Data Available,9822054101/9822498934,No Data Available,Shivam Hospital ( Hadapsar ),0,0,"1st Floor, Ramanand  Complex, Pune Solapur rd, Hadapsar, Pune 28",Pune,10,2,1619840166000,DCHC,PMC,0,0,0,Chargeable
174,11,0,,2,No Data Available,"9823921693,8485098798,8177856807",No Data Available,Shraddha Hospital ( Mundhwa),0,0,Mundhwa pune 36,Pune,9,3,1619944358000,DCHC,PMC,0,2,0,Chargeable
175,10,0,,5,No Data Available,"9518770572,9922307313",No Data Available,shraddha nursing home ( Dhayari ),0,0,"Galli No 24, Shop No 1, Near Durgamata Mandir , Aanat Vihar, Ganesh Nagar, Dhayari,",Pune,5,2,1619935500000,DCHC,PMC,0,5,0,Chargeable
176,15,0,,3,No Data Available,"9137999870,9922146452",No Data Available,Shree Ayurved & panchakarma Hospital( Chandan nagar ),0,0,"Lane No 4 , Sr.No.43, Behind balaji Hosp, Pathare - Thube Nagar Chandnnagr pune 14",Pune,12,1,1619889617000,DCHC,PMC,0,1,0,Chargeable
177,20,0,,10,No Data Available,9822080338,No Data Available,Shree Ganesh Hospital ( Kalas ),0,0,"Sr.No. 116 , Kalas, Pushpa Heights, Pune 411015",Pune,10,1,1619893449000,DCHC,PMC,0,0,0,Chargeable
178,26,0,,12,No Data Available,8329694790,No Data Available,SHREE GANESH MULTISPECILITY HOSPITAL,0,2,"MANJARI , HADAPSAR",Pune,12,12,1619605194000,DCHC,PMC,0,12,0,Chargeable
179,21,0,,10,No Data Available,8380061021,No Data Available,Shree Hospital (Nagar rd ),0,0,"Opp Agaakhana Pelace, Nagar rd, Pune 411006",Pune,11,11,1619597019000,DCHC,PMC,0,10,0,Chargeable
180,18,0,,3,No Data Available,9359405352,No Data Available,Shree Laxmi Hospital ( Kharadi ),0,0,"11/7B, Near Reliance Mart, Mundhwa, Bypass rd, Kharadi, Pune",Pune,15,4,1619946366000,DCHC,PMC,0,2,0,Chargeable
181,8,0,412308,0,No Data Available,7020214585,No Data Available,shree sai hospital ( fursungi ),0,0,"bhosale village, opp power house , fursungi pune 08",Pune,8,2,1619860880000,DCHC,PMC,0,0,0,Chargeable
182,12,0,,6,No Data Available,9405014800,No Data Available,SHREE SAI HOSPITAL ( Mundhwa ),0,0,"Sr.NO.39, Ward no,2, house no 159/2, shikshak soc, Keshavnagar, Mundhwa Pune 36",Pune,6,2,1619844372000,DCHC,PMC,0,3,0,Chargeable
183,15,0,,0,No Data Available,7620777777,No Data Available,Shree samarth Hospital ( KHARADI),0,0,"S.NO.14/1/1. THITENAGAR, KHARADI PUNE 14",Pune,15,0,1618554746000,DCHC,PMC,0,0,0,Chargeable
184,56,0,,0,No Data Available,8805387387,No Data Available,Shree samarth Hospital ( Rasta Peth),0,6,rasta peth pune,Pune,50,0,1619762878000,DCHC,PMC,0,0,0,Chargeable
185,50,0,,18,No Data Available,9766959515,No Data Available,Shree seva Hospital ( Fursungi ),0,0,"yashraj bahar BLDG, Saswad  rd, Bhekarayi nagar, Fursungi Pune",Pune,32,12,1619943011000,DCHC,PMC,0,15,0,Chargeable
186,17,0,,5,NA,7769909292,No Data Available,SHRI GIRI HOSPITAL & HEART CARE CENTER ( Hadapsar 0,0,1,"2 +3 MATRUSMURTI BLDG, S.NO.227/2/2+5/3 ND 227/3+4/5 PUNE SOLAPUR RD, HADAPSAR PUNE 28",Pune,10,0,1619876825000,DCHC,PMC,0,0,1,Chargeable
187,36,0,,0,No Data Available,9373699122,No Data Available,Shwas Multispeciality Hospital ( ambegaon bk ),0,1,"Shiv- Chhaya Complex, near sunbright school, tukaram nagar, ambegaon BK, Pune 46.",Pune,29,0,1619944736000,DCHC,PMC,0,0,6,Chargeable
188,65,0,,0,No Data Available,9823231846,No Data Available,SILVER BIRCH MULTISPECIALITY HOSPITAL ( Dhayari),0,8,"S.NO.74/6, RAIKAR MALA, MAUJE DHAYARI, PUNE 41",Pune,53,8,1619847771000,DCHC,PMC,0,0,4,Chargeable
189,5,0,,0,No Data Available,9823535044,No Data Available,Suny Nursing Home ( Rambaugh Colony ),0,0,"Shoping Plaza, Ram Baugh Colony, Pune 38",Pune,5,1,1619936551000,DCHC,PMC,0,0,0,Chargeable
190,15,0,411037,5,No Data Available,"8380095717,9860888892",No Data Available,suraj hospital (kondhwa rd),0,0,"Bibwewadi Kondhwa Rd, Burhani Colony, Market Yard, Bibwewadi, Pune, Maharashtra 411037",Pune,10,2,1619861389000,DCHC,PMC,0,3,0,Chargeable
191,6,0,,0,No Data Available,"8485841070/74, 8805598244",No Data Available,Surya Prabha Nursing home ( Kothrud ),0,0,"ENT hospital, plot no 7, gujrat colony , paud rd kothrud pune 38",Pune,6,2,1619946097000,DCHC,PMC,6,0,0,Chargeable
192,11,0,,5,No Data Available,7066963300 / 9967090083,No Data Available,Sushrut Hospital ( Kothrud ),0,0,"Pranav, Nayantara Soc, Bhelkenagar, Kothrud,Pune-411038",Pune,6,1,1619880272000,DCHC,PMC,4,1,0,Chargeable
193,7,0,,0,No Data Available,9860148121,No Data Available,Tanmay Hospital ( Hadapsar ),0,0,"Shop No 1,2,3, Siddhi BLDG, Kubera Sankul, Gadital, DP rd, Hadapsar, Pune 28",Pune,5,3,1619684224000,DCHC,PMC,0,0,2,Chargeable
194,15,0,,3,No Data Available,9822024041,No Data Available,Todkar Hospital ( Bhavani Peth),0,0,"158, Bhavani Peth, Gul Ali, Pune 02",Pune,12,0,1619877826000,DCHC,PMC,0,3,0,Chargeable
195,10,0,,2,No Data Available,9011972177,No Data Available,Tukaai multispecility hospital ( Kharadi),0,0,"sr.no.45/5,plot no 31, eknath pathare wasti near datta mandir, kharadi , pune-14",Pune,8,2,1619938928000,DCHC,PMC,15,2,0,Chargeable
196,10,0,,0,No Data Available,7020126389,No Data Available,Universal Hospital ( Shaniwar wada ),0,5,"1420 , Kasba Peth, near Shaniwar, Wada, Pune, Maharashtra 411011",Pune,5,0,1619943127000,DCHC,PMC,0,0,0,Chargeable
197,50,0,,30,No Data Available,9422300897,No Data Available,Ushakiran Hospital ( Hadapsar ),0,2,"Usha Kiran Genral Sr.No.229/A-1, Kamdhenu Estate, Hadapsar, Pune 411028",Pune,9,0,1619599614000,DCHC,PMC,0,18,9,Chargeable
198,16,0,,4,No Data Available,9325362742,No Data Available,VAIBHAV HOSPITAL ( Yerwada ),0,0,"Ganga complex, opp neeta park Airport road, near gunjan theater, Yerawada, Pune, Maharashtra 411006",Pune,12,2,1619922927000,DCHC,PMC,0,1,0,Chargeable
199,30,0,411028,16,No Data Available,9011916607 / 9922845128,No Data Available,VAIBHAVI HOSPITAL ( HADAPSAR),0,0,"RAGHUKUL PLAZA, AAKASHVANI KENDRASAMOR , HADAPSAR, PUNE 28",Pune,14,4,1619938707000,DCHC,PMC,0,13,0,Chargeable
200,5,0,,0,No Data Available,"020-26981460,8605673377",No Data Available,Vighanharta hospital ( Fursungi ),0,0,"h no 1415, old furungi rd, bhekarayinagar , fursungi 412308",Pune,5,2,1619884157000,DCHC,PMC,5,0,0,Chargeable
201,37,0,,5,No Data Available,99-21884422/020-24412288,No Data Available,Vighnaharta Multi-speciality Hospital ( Bibwewadi ),0,2,"Plot No.5 Mahesh Society,Opp Petrol Pump, Bibvewadi,Pune-411037",Pune,25,0,1619943311000,DCHC,PMC,0,2,5,Chargeable
202,45,0,,22,No Data Available,7887887053 / 7887800000,No Data Available,Villoo Poonawala Memorial Hospital ( Hadapsar ),0,3,"S.No.156, Plot No.1/3A+3B/1+2/3, Pune - Solapur Rd, near Savali Corner, Hadapsar, Pune, Maharashtra 411028",Pune,19,0,1619940250000,DCHC,PMC,28,0,1,Chargeable
203,20,0,,10,No Data Available,9175884800,No Data Available,VIMAL MULTISPECIALITY HOSPITAL ( Lohgaon),0,0,"281,Dhanori Jakat-Naka, Lohegaon, Pune, Maharashtra 411047",Pune,10,0,1619940840000,DCHC,PMC,0,0,0,Chargeable
204,26,0,,16,No Data Available,8806666732,No Data Available,Vinod Memorial Hospital ( Visharant wadi ),0,0,"Vishrant Society, Visharant Wadi, Pune, Maharashtra 411015",Pune,10,0,1619852076000,DCHC,PMC,0,0,0,Chargeable
205,10,0,,0,No Data Available,+919881231545,No Data Available,Wadekar Nursing Home ( Sinhgad rd ),0,0,"Sr.No.33, Flat no 1A, BLDG, Ground Floor, Kudale Patil Townsheep, Manik Baugh, Wadgaon BK, SInhgad rd, pune 51",Pune,10,10,1619938547000,DCHC,PMC,0,0,0,Chargeable
206,80,0,411028,30,No Data Available,9112809809,No Data Available,Yash Hospital Hadpasr,0,3,"Survey No 168, 10-11, DP Rd, Malwadi, Hadapsar, Pune, Maharashtra 411028",Pune,35,0,1619942940000,DCHC,PMC,0,0,12,Chargeable
207,6,0,,0,NA,9823090327,No Data Available,YASHORAHI MULTISPECILAITY HOSPITAL ( Shivne ),0,0,"S.NO.68/1,SHIVKAMAL PRESTIGE , NDA RD, NEAR DUDHANE PETROL PUMP, SHIVANE, PUNE 23",Pune,6,0,1619844220000,DCHC,PMC,0,0,0,Chargeable
208,117,0,,117,No Data Available,9822246989,No Data Available,S.M. Joshi College,0,0,Hadapsar,Pune,0,0,1591861411000,CCC,PMC,0,47,0,Chargeable
