id,area,available_icu_beds_with_ventilator,pincode,district,hospital_poc_phone,total_beds_without_oxygen,available_beds_without_oxygen,hospital_poc_name,total_icu_beds_without_ventilator,total_beds_with_oxygen,hospital_phone,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,available_beds_with_oxygen,hospital_address,last_updated_on,hospital_category
233,Chhindwara,-1,,Chhindwara,9826343579,300,279,Dr S nagwanshi,0,0,"9826343579, 9406834660",Kanya  Parishar Hostal Chhindwara,0,-1,0,,1619918612000,Government
234,Chhindwara,-1,,Chhindwara,9764004958,0,0,Dr. Balram Meghani,30,35,"9764004958, 9764004958","Satpura Covid Hospital,Chhindwara",4,-1,3,,1619918177000,Private
235,Chhindwara,-1,480001,Chhindwara,8770507313,4,1,Deepak Khandelwal,28,2,062626 40425,Arogya Hospital Chindwara,4,-1,1,"CITY PRIDE BUILDING, 1ST FLOOR, Parasia Rd, Sinchai Colony, Mohan Nagar, Chhindwara, Madhya Pradesh 480001, India",1619917683000,Private
236,Chhindwara,-1,480001,Chhindwara,6266804011,25,18,Dr Nilesh Sidam,0,0,"7974832552, 9584162791",Tribal Hostal Block Bichuwa,0,-1,0,"Vivekanand Colony, Chhindwara, Madhya Pradesh 480001, India",1619918389000,Government
237,Chhindwara,-1,480334,Chhindwara,9630831126,0,0,Dr.Naresh Gonnade,0,100,"9630831126, 9630831126","Civil Hospital Pandhurna ,Dist Chhindwara",0,-1,59,"Pandhurna, Madhya Pradesh 480334, India",1619917964000,Government
238,Chhindwara,-1,,Chhindwara,9630235675,0,0,Dr Deewan,0,20,"9630235675, 9630235675",Life Line Hospital Sausar,0,-1,10,,1619918264000,Private
239,Chhindwara,-1,,Chhindwara,9993709444,10,2,MR. TANMAY BHATTCHARYA,12,70,"9993709444, 9993709444",Life  Care  Multi  Speciality Hospital,2,-1,2,,1619917445000,Private
240,Chhindwara,-1,,Chhindwara,6260565371,70,33,Dr Mathur,0,0,"6260565271, 6260565261",WCL Hospital Badkuhi Block Parasia,0,-1,0,,1619918457000,Government
241,Chhindwara,-1,480001,Chhindwara,9827117510,0,0,Dr.Bindra,5,15,"9827117510, 9827117510",Bindra Hospital,2,-1,1,"Nai Abadi, Chhindwara, Madhya Pradesh 480001, India",1619917596000,Private
242,Damoh,-1,,Damoh,9131518871,100,27,Dr Rahul Kurmi,0,0,"9131518871, 9131518871",OBC Post Matric Girls Hostel Vivekanand Nagar Damoh,0,-1,0,,1619917811000,Government
243,Damoh,-1,470661,Damoh,9425095542,10,0,Dr Priya Jain,0,20,094254 05989,City Hospital Damoh,0,-1,0,"Guardline,Maganj ward no 1, 470661a, Civil Ward, Teen Gulli, Damoh, Madhya Pradesh 470661, India",1619917723000,Private
244,Damoh,-1,470661,Damoh,9630106639,20,6,Hari Mishra,0,50,"9131463356, 9575059412",MISSION HOSPITAL DAMOH,0,-1,12,"Shrivastav Colony, Neminagar, Damoh, Madhya Pradesh 470661, India",1619917335000,Private
245,Damoh,-1,470661,Damoh,9425611830,10,0,Dr Sanjeev Singhai,0,20,078122 25110,Sanjeevani Hospital,0,-1,1,"Old, Galla Mandi Raod, More Ganj, Damoh, Madhya Pradesh 470661, India",1619916962000,Private
246,Damoh,-1,470661,Damoh,9575004587,0,0,Dr. Manish Patel,0,25,"9575004587, 8827833700",Atharwa Nursing Home Damoh,0,-1,0,"Imalia, Damoh, Madhya Pradesh 470661, India",1619933100000,Private
247,Damoh,-1,470661,Damoh,9826963342,0,0,Dr. Gaurav Nayak,0,15,"8085272143, 9826963342",Paras Hospital Damoh,0,-1,0,"maganj ward no. 3 near pnb bank maganj ward no. 3, near pnb bank, Teen Gulli, Damoh, Madhya Pradesh 470661, India",1619917068000,Private
248,Damoh,-1,470661,Damoh,9827534897,50,30,DR. DIWAKAR PATEL,14,200,"9827534897, 9827534897",DH Damoh - DCHC,7,-1,11,"Damoh, Station Road, Tidoni, Damoh, Madhya Pradesh 470661, India",1619917220000,Government
249,Datia,-1,475661,Datia,9926475837,20,20,Dr. S.N.SHAKYA,10,40,07522 234 001,Dh   Datia - DCHC,10,-1,17,"Aman Colony, Datia, Madhya Pradesh 475661, India",1619926411000,Government
250,Datia,-1,475661,Datia,9410125566,10,4,Dr.K.K. GUPTA,40,90,07522 234 001,GMC Datia - DCH,0,-1,23,"Aman Colony, Datia, Madhya Pradesh 475661, India",1619927674000,Government
251,Datia,-1,,Datia,9826565777,70,10,JAWAHAR SINGH YADAV,0,0,"8839364235, 9300057408",RAWATPURA NURSING COLLEGE AND ASSOCIATED SHANTIMEMORIAL HOSPITAL JHASHI ROAD,0,-1,0,,1619916287000,Government
252,Datia,-1,475661,Datia,9575838990,50,50,DR HEMANT MANDELIYA,0,0,"9575838990, 9575838990","GNMTC, Datia",0,-1,0,"Gwalior - Jhansi Rd, Datia, Madhya Pradesh 475661, India",1619924741000,Government
253,Datia,-1,475661,Datia,7049576298,4,0,RAJKUMAR SIKHARWAR,8,3,07522 234 553,VEDIKA MULTISPECILITY HOSPITAL,0,-1,0,"Aman Colony, Datia, Madhya Pradesh 475661, India",1619918372000,Private
254,Dewas,-1,455332,Dewas,9826454145,50,32,DR LOKESH MEENA,0,0,072732 22341,CCC KANNOD,0,-1,0,"Nemawar Road, near LIC of India, Kannod, Madhya Pradesh 455332, India",1619931799000,Government
255,Dewas,-1,455001,Dewas,9977855573,6,0,NITIN KUMAR DOUR,0,14,"9977855573, 9977855573",CITY HOSPITAL,0,-1,0,"4-A, AB Rd, Tarani Colony, Agroha Nagar, Gomti Nagar, Dewas, Madhya Pradesh 455001, India",1619931937000,Private
256,Dewas,-1,455227,Dewas,9893256739,50,44,DR VISHNU LATA UIKEY,0,0,"9893256739, 9893256739",CCC BAGLI,0,-1,0,"Mangliya Gaon, Bagli, Madhya Pradesh 455227, India",1619931744000,Government
257,Dewas,-1,455001,Dewas,7000634441,22,13,MAHIMA SHARMA,0,3,072724 01588,APEX CARE  HOSPITAL,0,-1,0,"AB Rd, Kalani Bagh, Opp.District Court, Gomti Nagar, Dewas, Madhya Pradesh 455001, India",1619931720000,Private
258,Dewas,-1,455001,Dewas,9479808663,16,0,MS SHEETAL,3,16,072724 06030,SANSKAR HOSPITAL,0,-1,0,"A-52-53, AB Rd, Kalani Bagh, Gomti Nagar, Dewas, Madhya Pradesh 455001, India",1619932117000,Private
259,Dewas,-1,,Dewas,9826336991,100,0,Dr. Atul Kumar Bidwai,10,160,"9826336991, 9826336991",DH Dewas - DCHC,0,-1,0,,1619931968000,Government
260,Dewas,-1,455223,Dewas,9770770664,50,39,DR JIVAN YADAV,0,0,", ",CCC HATPIPLIYA,0,-1,0,"Newari Bagli Marg, Tilyakhedi, Hatpipliya, Hatpipliya, Madhya Pradesh 455223, India",1619931769000,Government
261,Seoni,-1,480661,Seoni,9425350710,100,59,SHIVENDRA MISHRA,0,0,", ",GNMTC,0,-1,0,"Old RTO Office Rd, Ekta Colony, Barapatthar, Seoni, Madhya Pradesh 480661, India",1619932023000,Government
262,Dewas,-1,455336,Dewas,9425969279,50,30,G S BAGHEL,0,0,072742 32532,CCC KHATEGAON,0,-1,0,"Nemawar Road,Khategaon, Dewas, Madhya Pradesh 455336, India",1619931874000,Government
263,Dewas,-1,455001,Dewas,9131227462,200,200,Ritesh Lapalikar,100,450,072724 26500,Amaltas Institute of Medical Science (Contract),0,-1,17,"Bangar Villega, Ujjain Dewas Rd, Dewas, Madhya Pradesh 455001, India",1619931689000,Private
264,Dewas,-1,455001,Dewas,9522205843,5,0,PREETI CARPENTER,5,15,072724 00060,PRIME HOSPITAL,0,-1,0,"105-A, Civil Line, Main Road, Pachunkar Colony, Ram Nagar, Dewas, Madhya Pradesh 455001, India",1619932148000,Private
265,Dewas,-1,455118,Dewas,9131738118,50,47,AADARSH NANERIYA,0,0,1860 120 7777,CCC SONKATCH,0,-1,0,"M.G. Rd, Sonkatch, Madhya Pradesh 455118, India",1619931904000,Government
266,Dewas,-1,455001,Dewas,9754502543,7,0,Rajesh Choudhary,0,8,"9754502543, 9754502543",Nursing Home Vinayak,0,-1,0,"47, NH 3, Todi Mohalla, Gomti Nagar, Dewas, Madhya Pradesh 455001, India",1619932051000,Private
267,Dewas,-1,455001,Dewas,7415622535,11,0,ROHIT JAWANIYAL,0,9,072722 20601,DHRC DEWAS,0,-1,0,"231, AB Rd, opposite Power House, Old Town, Gomti Nagar, Dewas, Madhya Pradesh 455001, India",1619931999000,Private
268,Dhar,-1,454001,Dhar,8085499660,0,0,DR NEERAJ DRUVE,20,100,"9826443871, 9826443871",DH Dhar - DCHC-(DCHC - District Hospital),0,-1,5,"Mandu Rd, D R P LINE, Dhar, Madhya Pradesh 454001, India",1619918659000,Government
269,Dhar,-1,454001,Dhar,8319686815,50,29,RANJANA,0,0,"9303027827, 9755547621",BOYS HOSTEL TANDA,0,-1,0,"Prakash Nagar, Dhar, Madhya Pradesh 454001, India",1619917776000,Government
270,Dhar,-1,454001,Dhar,9340950028,50,16,Dr Dev Nigam,0,0,"9826462003, 9826462003",DHARWARA 2,0,-1,0,"Ghoda Chopati, Dhar, Madhya Pradesh 454001, India",1619930250000,Government
271,Dhar,-1,,Dhar,7000663654,0,0,Dr Gokul Patidar,0,15,"8435762450, 7000663654",Kamla Ben Hospital Dhamnod,0,-1,1,,1619925442000,Private
272,Dhar,-1,454001,Dhar,9753333168,8,0,Dr Dinesh Rathore,0,12,"7987265819, 7047252072",Sai Ram Hospital Indorma,0,-1,1,"Dhar, Madhya Pradesh 454001, India",1619939262000,Private
273,Dhar,-1,454001,Dhar,9893557090,5,0,DR ASHOK JAIN,0,10,072922 34535,Patidar Hospital Dhar,0,-1,0,"Indira Colony, Dhar, Madhya Pradesh 454001, India",1619920848000,Private
274,Dhar,-1,391165,Dhar,8717915267,50,38,MAHENDRA SINGH CHOUHAN,0,0,"8717915267, 8717915267",KASTURBA GANDHI BALIKA AAWASIYA VIDHYALAY KUKSHI,0,-1,0,"Zoz, Gujarat 391165, India",1619918546000,Government
275,Dhar,-1,454775,Dhar,8871369147,15,15,Dr Santosh Kumar,0,10,097137 73988,"Health Care Hospital & Diagnostic Centre ,Pithampur",0,-1,1,"Pithampur Hospital and Research Centre,, Saif Tower, Near Yashika Palace, sector-1, Pithampur Industrial Area, Sagour Kuti, Pithampur, Madhya Pradesh 454775, India",1619925913000,Private
276,Dhar,-1,454775,Dhar,8889611181,15,14,DR. MANISH AGRAWAL,5,30,081094 25288,Sanjeewani Hospital Pithampur,0,-1,2,"55/1/1 & 55/1/2, Akoliya, In front of VE Powertrain, Mhow - Neemuch Rd, Pithampur Industrial Area, Pithampur, Madhya Pradesh 454775, India",1619927312000,Private
277,Dhar,-1,454774,Dhar,9826042261,9,0,Dr Narendra Raj,0,21,"9826004420, 9713773988",Pithampur Hospital & Research Centre,0,-1,0,"Pithampur Industrial Area, Sagour Kuti, Pithampur, Madhya Pradesh 454774, India",1619939185000,Private
278,Dhar,-1,454116,Dhar,7000130018,0,0,Shashwat Gupta,0,30,091316 44324,"Shri Guru Rajendra Manav Sewa Mandir Chiktsalya Trust,Rajgarh,Sardarpur",0,-1,0,"NH 59, Rajgarh, Madhya Pradesh 454116, India",1619930714000,Private
279,Dhar,-1,454111,Dhar,9893166624,50,38,Dr Sheela Mujhalda,0,0,"9981044622, 8878672162",Sardarpur CCC,0,-1,0,"Sardarpur, Madhya Pradesh 454111, India",1619918132000,Government
280,Dhar,-1,,Dhar,9926666393,200,173,Dr Adiyta Shiivastav,0,0,", ",Mohankheda Thirth CCC,0,-1,0,,1619925645000,Government
281,Dhar,-1,454446,Dhar,9179927315,50,38,Jyoti Jamra,0,0,091796 34444,MAHILA ITI CHHATRWAAS MANAWAR,0,-1,0,"Singhana Rd, Manawar, Madhya Pradesh 454446, India",1619917917000,Government
282,Dhar,-1,454001,Dhar,9425919540,50,16,Dr Rohit Sharma,0,0,094259 67978,EKLAVYA BALAK CHATRAWAAS MANDAV ROAD (TIRLA),0,-1,0,"Labrawada, Madhya Pradesh 454001, India",1619925747000,Government
283,Dhar,-1,454001,Dhar,9424525050,50,5,Dr. Sanjay Bhandari,0,0,"7828539528, 7999920646",KASTURBA DHARWRA 1,0,-1,0,"Dhar, Madhya Pradesh 454001, India",1619930337000,Government
284,Dhar,-1,454660,Dhar,9826381780,50,1,Dr A S Shrivatsav,0,0,"9981744699, 9575885711",Badnawar CCC,0,-1,0,"Nayapura, Kajipura, Badnawar, Madhya Pradesh 454660, India",1619918222000,Government
285,Dhar,-1,,Dhar,9827200984,50,43,DR VIRENDRA SOLANKI,0,0,"9039381737, 9926507292","Kanya Awashya Parisar,Beganda Road, Dhamnod  (DHARAMPURI)",0,-1,0,,1619918078000,Government
286,Dhar,-1,454001,Dhar,9425045651,22,0,DR. UMESH MITTAL,0,10,072922 22453,Mittal Hospital,0,-1,0,"Tilak Marg, Pochaupati, Dhar, Madhya Pradesh 454001, India",1619926450000,Private
287,Dhar,-1,454001,Dhar,9425046076,0,0,DR. M. MAHAJAN,0,31,072924 08330,Mahajan Hospital,0,-1,0,"Indore - Dhar Rd, Sharad Nagar, Tirupati Nagar, Magajpura, Madhya Pradesh 454001, India",1619928433000,Private
288,Dhar,-1,454116,Dhar,9926045516,0,0,Mehtab Singh Sindal,0,10,072962 42225,"Shri Guru Rajendra Suri Chiksalya Trust evam Netr Anushandhan Kendra Mohankheda Teerth,",0,-1,1,"Rajgarh, Madhya Pradesh 454116, India",1619928255000,Private
289,Dhar,-1,454001,Dhar,7869449697,10,0,DR ARUN KUMAR,0,10,"9009742299, 8839723248",OM Sai Ram,0,-1,0,"Sunder Ban Colony, Dhar, Madhya Pradesh 454001, India",1619920984000,Private
290,Dhar,-1,454001,Dhar,9424525050,8,0,DR SANJAY BHANDARI,10,169,"9826443871, 9826443871",OTHER  DCHC PERIPHERY,0,-1,27,"Dhar, Madhya Pradesh 454001, India",1619918791000,Government
291,Dindori,-1,481990,Dindori,8319602716,0,0,Dr. Balram Uikey,0,20,"9977682121, 7400625361",SHAHPURA DCHC,0,-1,5,"Shahpura, Madhya Pradesh 481990, India",1619940694000,Government
292,Dindori,-1,481880,Dindori,9617541140,0,0,Dr. Harsh vardhan,10,90,"7566013520, 7999655391",DH Dindori - DCHC,1,-1,36,"Dindori, Madhya Pradesh 481880, India",1619924543000,Government
293,Dindori,-1,02115,Dindori,9424940380,150,45,Dr. Ajay Raj,0,0,(617) 495-1000,DIET CCC DINDORI,0,-1,0,"677 Huntington Ave, Boston, MA 02115, USA",1619921352000,Government
294,Guna,-1,473001,Guna,9827016287,15,0,DR  JITENDRA RAGHUWANSHI,0,15,"9827016287, 9827016287",SAHYOG HOSPITAL,0,-1,0,"Laxmi Ganj, Guna, Madhya Pradesh 473001, India",1619937498000,Private
295,Guna,-1,473001,Guna,9977451515,10,1,DR AMIT JAIN,20,20,075422 50288,SANJEEVINI HOSPITAL DCHC,0,-1,0,"Karnal Ganj, Piproda Khurd, Madhya Pradesh 473001, India",1619927591000,Private
296,Guna,-1,473001,Guna,9425131021,10,0,DR G K LAHOTI,0,10,075422 25120,AASHIRWAD HOSPITAL,0,-1,0,"Choudharan Colony, Laxmi Ganj, Guna, Madhya Pradesh 473001, India",1619927914000,Private
297,Guna,-1,473001,Guna,9669016758,14,0,DR SACHIN SONI,0,12,075422 20225,SACHIN HOSPITAL,0,-1,0,"MAIN ROAD, NAYAPURA,GUNA (MADHYA PRADESH NEAR, Kamla Garage, Guna Rd, Soni Colony, Guna, Madhya Pradesh 473001, India",1619940594000,Private
298,Guna,-1,473001,Guna,9425131419,10,0,DR YS RAGHUWANSHI,10,10,099813 69582,RAM HITECH HOSPITAL,0,-1,0,"Diversion Road, Porwal Colony, Vindhyachal Colony, Model Town Colony, Guna, Madhya Pradesh 473001, India",1619943084000,Private
299,Guna,-1,,Guna,7000059693,100,91,DR KAPIL SHARMA,0,0,"8839505029, 7974367184",Pawan Shree Manglik Bhawan CCC,0,-1,0,,1619927537000,Private
300,Guna,-1,473001,Guna,8225084314,50,1,Dr SUNEEL YADAV,10,160,"9131950215, 9669602701",DH Guna - DCHC,10,-1,0,"Maharana Pratap Rd, Subhash Colony, Guna, Madhya Pradesh 473001, India",1619927380000,Government
301,Guna,-1,473001,Guna,9179957216,28,18,Dr. Laxmi,0,12,084878 38513,Sada Colony Hospital,0,-1,0,"Laxmi Ganj, Guna, Madhya Pradesh 473001, India",1619927441000,Government
302,Guna,-1,473001,Guna,9685521155,0,0,DR MANOJ GUPTA,12,0,083496 32631,BALAJI HOSPITA,2,-1,0,"Krisnani Nagar, Guna, Madhya Pradesh 473001, India",1619931378000,Private
303,Gwalior,-1,474002,Gwalior,7773008103,5,0,DR DIPANKAR LAHARIYA,10,25,0751 401 2551,MAHESHWARI HOSPITAL GWALIOR,0,-1,0,"85, New Chandra Nagar, Maharani Laxmi Bai Colony, Lashkar, Gwalior, Madhya Pradesh 474002, India",1619928632000,Private
304,Gwalior,-1,474002,Gwalior,9826564998,0,0,DR R K MISHRA,10,0,084620 11201,AROGYADHAM HOSPITAL AND RESEARCH CENTER GWALIOR,0,-1,0,"Foot Over Bridge, near AG Office, City Center, Lashkar, Gwalior, Madhya Pradesh 474002, India",1619932559000,Private
305,Gwalior,-1,474004,Gwalior,9479549225,0,0,DR SHIKHA UPADHYAY,0,28,0751 297 0955,RIMSS HOSPITAL GWALIOR,0,-1,11,"Opp. Indraprasta Garden, Gole ka Mandir, Bhind Rd, Purshottam Vihar, Hanuman Nagar, Morar, Gwalior, Madhya Pradesh 474004, India",1619926460000,Private
306,Gwalior,-1,474006,Gwalior,7771965000,3,1,SONU BHADORIYA,6,5,"7771965000, 7771965000",HOPE WELL HOSPITAL GWALIOR,5,-1,2,"Kalpi Rd, Kalpana Nagar, Raghavpuram, Morar, Gwalior, Madhya Pradesh 474006, India",1619927936000,Private
307,Gwalior,-1,474002,Gwalior,9174800954,0,0,DR D V DINKAR,20,0,", ",SHRADDHA NURSING HOME GWALIOR,8,-1,0,"Dr. Deenabandhu Dvivedi M-241, agmp Madhav Nagar, Madhav Nagar, Lashkar, Gwalior, Madhya Pradesh 474002, India",1619928145000,Private
308,Gwalior,-1,474002,Gwalior,8109492393,13,4,DR GIRISH SHARMA,0,9,", ",CIVIL HAZIRA GWALIOR,0,-1,9,"Fort Rd, Hazira, Gadhaipura, Gwalior, Madhya Pradesh 474002, India",1619927499000,Government
309,Gwalior,-1,474001,Gwalior,9098443535,6,6,Harish Meena,8,8,"9098443535, 9098443535",SUVIDHA HOSPITAL GWALIOR,0,-1,3,"Jhansi Rd, Tapovan Forest Colony, Paras Vihar Colony, Vijaynagar, Gwalior, Madhya Pradesh 474001, India",1619925697000,Private
310,Gwalior,-1,,Gwalior,9425705766,25,19,SANDEEP MITTAL,0,0,", ",SHREE RAM HOSPITAL,0,-1,0,,1619928100000,Private
311,Gwalior,-1,474001,Gwalior,8962123112,0,0,DR SOURABH PARPYANI,6,14,", ",VAISHNAVI HOSPITAL GWALIOR,0,-1,0,"Gudagudi Ka Naka Rd, Kampoo Rd, Lashkar, Gwalior, Madhya Pradesh 474001, India",1619919990000,Private
312,Gwalior,-1,,Gwalior,9425339772,12,11,DR NARENDRA THAKUR,10,4,", ",SAMBHAV HOSPITAL GWALIOR,3,-1,3,,1619932395000,Private
313,Gwalior,-1,474001,Gwalior,7693932844,8,8,DR HEMANT KUMAR SHAKYA,12,8,"7693932844, 7693932844",KALPANA HOSPITAL GWALIOR,1,-1,1,"Main Rd, Shinde Ki Chhawani, Gwalior, Madhya Pradesh 474001, India",1619925270000,Private
314,Gwalior,-1,474001,Gwalior,9827091588,0,0,DR PRADEEP RATHI,0,4,0751 406 6640,RATHI HOSPITAL GWALIOR,0,-1,4,"Nai Sadak, Sakhar Colony, Dana Oli, Gwalior, Madhya Pradesh 474001, India",1619923895000,Private
315,Gwalior,-1,475001,Gwalior,8959487837,0,0,DR YOGENDRA POUNIKAR,12,50,", ",RAMSINGH DHAKRE MEMORIAL HOSPITAL  GWALIOR,6,-1,44,"Gwalior, Madhya Pradesh 475001, India",1619928741000,Private
316,Gwalior,-1,474009,Gwalior,7509684469,0,0,DR SANDEEP AGRWAL,4,4,", ",MAA KAILADEVI HOSPITAL,0,-1,2,"Maharana Pratap Nagar, Lashkar, Gwalior, Madhya Pradesh 474009, India",1619928513000,Private
317,Gwalior,-1,474001,Gwalior,9039939007,0,0,DR ROHIT PRATAP SINGH TOMAR,14,3,0751 262 5185,SHANTA NURSING HOME GWALIOR,0,-1,0,"Patankar Bazaar, Patankar Bazar, Khurjewala Mohalla, Lashkar, Gwalior, Madhya Pradesh 474001, India",1619919829000,Private
318,Gwalior,-1,,Gwalior,7898485202,100,100,DR DHAMINIYA,0,0,"7898485202, 7898485202",RAM KRISHNA HOSPITAL,0,-1,0,,1619928848000,Government
319,Gwalior,-1,474005,Gwalior,9425784546,0,0,Dr S L Desai,18,132,0751 240 5617,BIMR Hospital Gwalior,0,-1,0,"Surya Mandir Rd, Residency Rd, Mahaveer, Morar, Gwalior, Madhya Pradesh 474005, India",1619924052000,Private
320,Gwalior,-1,,Gwalior,8965999786,0,0,DR NITIN JAIN,10,0,", ",KAILASH COVID CARE CENTER,2,-1,0,,1619927048000,Private
321,Gwalior,-1,474002,Gwalior,9826217672,30,0,Dr Anil Saxena,14,36,0751 408 7244,Kalyan Multispecility Hospital padav,0,-1,0,"Plot no. 34, 35, Padav, Maharani Laxmi Bai Colony, Lashkar, Gwalior, Madhya Pradesh 474002, India",1619945620000,Private
322,Gwalior,-1,474009,Gwalior,8878772727,100,75,DR SAGAR,0,0,0751 309 1581,FACILITATION CENTRE MELAGROUND,0,-1,0,"F-17, Sanjay Complex, Jayendra Ganj, Jayendraganj, Shinde Ki Chhawani, Gwalior, Madhya Pradesh 474009, India",1619927825000,Government
323,Gwalior,-1,474009,Gwalior,9425757702,0,0,Dr P D Agrawal,15,6,0484 238 0452,SARAF HOSPITAL GWALIOR,7,-1,2,"Jayendraganj, Lashkar, Gwalior, Madhya Pradesh 474009, India",1619931603000,Private
324,Gwalior,-1,474012,Gwalior,9522012352,0,0,TARUN SHARMA,8,27,", ",RISHISHWAR MULTISPECIALITY HOSPITAL,4,-1,4,"B-2, Bhind Rd, BSF Colony, Deen Dayal Nagar, Gwalior, Madhya Pradesh 474012, India",1619928688000,Private
325,Gwalior,-1,474002,Gwalior,7898984555,0,0,Dr Raghvendra Singh,20,25,"7898984555, 7898984555",Paridhi Hospital Gwalior,0,-1,2,"Kailash Vihar Main Rd, City Center, Jiwaji University, Mahalgaon, Gwalior, Madhya Pradesh 474002, India",1619935074000,Private
326,Gwalior,-1,474011,Gwalior,9425708284,6,5,DR HEMANT GUPTA,7,13,"8357861034, 8357861034",SAHYOG HOSPITAL GWALIOR,0,-1,9,"Hospital Rd, Lalitpur Colony, Lashkar, Gwalior, Madhya Pradesh 474011, India",1619921265000,Private
327,Gwalior,-1,474020,Gwalior,9009207777,90,90,Sh. Ajay Yadav,0,10,095753 02206,IDEA COLLEGE GWALIOR,0,-1,4,"Near Toll Plaza, Gwalior - Etawah Road, NH-92, Gwalior, Madhya Pradesh 474020, India",1619928957000,Government
328,Gwalior,-1,474009,Gwalior,7974386855,5,4,KAVIRAJ,1,2,099770 65721,AKASH HOSPITAL GWALIOR,1,-1,2,"Panchwati Vastra Nagar, Roshni Ghar Mohalla, Lashkar, Gwalior, Madhya Pradesh 474009, India",1619926941000,Private
329,Gwalior,-1,474001,Gwalior,7987558443,35,13,DR ANURAG SIKARWAR,20,15,0751 233 6619,SSIMS Multispecility Hospital,2,-1,0,"Cancer Hospital Rd, Cancer Hill, Gwalior, Madhya Pradesh 474001, India",1619930239000,Private
330,Gwalior,-1,,Gwalior,9891302811,0,0,DR VARUNESH,0,5,", ",DRASHYA SUPERSPECIALITY HOSPITAL,0,-1,0,,1619929932000,Private
331,Gwalior,-1,474002,Gwalior,9644614919,0,0,UPENDRA TOMAR,10,5,", ",INDUS HOSPITAL GWALIOR,1,-1,0,"Viivek Vihar, Lashkar, Gwalior, Madhya Pradesh 474002, India",1619925454000,Private
332,Gwalior,-1,474009,Gwalior,7879680397,5,4,DR Anand lodhi,8,12,0751 292 0999,MAA SHITLA MULTISPECAILITY HOSPITAL GWALIOR,0,-1,0,"Hospital Rd, in front of Madhav Dispensary, Lalitpur Colony, Lashkar, Gwalior, Madhya Pradesh 474009, India",1619933900000,Private
333,Gwalior,-1,475001,Gwalior,9713700004,0,0,DR J P BAGHEL,0,50,"9713700004, 9713700004",VISM HOSPITAL GWALIOR,0,-1,32,"NH-75, Jhansi Rd, Turari, Gwalior, Madhya Pradesh 475001, India",1619926830000,Private
334,Gwalior,-1,474011,Gwalior,8103761500,20,12,DR SHAILENDRA SINGH DHAKAD,0,30,091745 19698,CHIRAYU MULTISPECIALITY HOSPITAL GWALIOR,0,-1,22,"245, Kailash Vihar Main Rd, City Center, Tulsi Vihar Colony, Gwalior, Madhya Pradesh 474011, India",1619920920000,Private
335,Gwalior,-1,474002,Gwalior,9753424610,5,0,RAJESH RAWAT,7,4,", ",SANSKAR HOSPITAL GWALIOR,0,-1,0,"Railway Colony, Gwalior, Madhya Pradesh 474002, India",1619925793000,Private
336,Gwalior,-1,474009,Gwalior,9926143817,0,0,Dr Dheeraj singh yadav,0,10,"9926143817, 9926143817",KANHA MULTISPECIALITY HOSPITAL,0,-1,1,"Gwalior, Lalitpur Colony, Lashkar, Gwalior, Madhya Pradesh 474009, India",1619924497000,Private
337,Gwalior,-1,474006,Gwalior,7049877000,10,7,Dr VISHAL YADAV,25,0,"9754514724, 9424397338",Mansarovar Care  Hospital,0,-1,0,"Kalpi Rd, Kalpana Nagar, Raghavpuram, Morar, Gwalior, Madhya Pradesh 474006, India",1619916628000,Private
338,Gwalior,-1,474007,Gwalior,9425120462,28,0,Dr. ANIL SINGH,0,94,"9425120462, 9425120462",DH Gwalior - DCHC,0,-1,5,"Italian Garden Road, Phool Bagh Rd, Phool Bagh, Lashkar, Gwalior, Madhya Pradesh 474007, India",1619927602000,Government
339,Gwalior,-1,474009,Gwalior,9826219199,0,0,DR MANOJ GULATI,20,0,0751 404 7000,PARIWAR HOSPITAL GWALIOR,0,-1,0,"Hospital Road, Lalitpur Colony, Lashkar, Gwalior, Madhya Pradesh 474009, India",1619929652000,Private
340,Gwalior,-1,474006,Gwalior,9039939007,6,2,DR PRATAP SINGH CHAUHAN,9,5,"9039939007, 9039939007",RUDHRAAKSH HOSPITAL GWALIOR,0,-1,0,"Kalpi Rd, Kalpana Nagar, Raghavpuram, Morar, Gwalior, Madhya Pradesh 474006, India",1619925123000,Private
341,Gwalior,-1,474002,Gwalior,9926390755,0,0,DR RAJESH,40,70,084484 40991,Appolo Hospital,0,-1,0,"18, Road Kila Gate Road, near Sai Baba Mandir, Vikas Nagar, Dwarkapuri, Lashkar, Gwalior, Madhya Pradesh 474002, India",1619923431000,Private
342,Gwalior,-1,474001,Gwalior,8827415768,0,0,DR ANURUDDH TOMAR,5,5,"8827415768, 8827415768",S S T HOSPITAL GWALIOR,5,-1,2,"S.S.T Hospital, Yadav dhrm kata, Morena Link Rd, Ajay Colony, Gadhaipura, Gwalior, Madhya Pradesh 474001, India",1619928643000,Private
343,Gwalior,-1,,Gwalior,7581884146,20,14,RUSTAM SINGH PAWAIYA,0,0,", ",VARDAN HOSPITAL GWALIOR,0,-1,0,,1619923254000,Private
344,Jabalpur,-1,482002,Jabalpur,9425117259,0,0,Dr Harsh Agarwal,10,40,"9425117259, 9425117259",GLOBAL HOSPITAL,0,-1,0,"Plot No 7-8, Shatabdipuram, near Ukhari Crossing, Phase 1, Shatabdipuram Phase 1, Jabalpur, Madhya Pradesh 482002, India",1619924082000,Private
